Workbech6#Logfile,Entry,00000,Version,00002,DateTime,2/28/2018 2:28:40 PM,Channel,00064,Slider,00000,Wheel,00000,Mutual,False
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,
MethodID,00000,Mutual,False,Entry,36
MethodID,00001,Mutual,False,Entry,0
MethodID,00002,Mutual,False,Entry,0
MethodID,00003,Mutual,False,Entry,0
MethodID,00004,Mutual,False,Entry,0
MethodID,00005,Mutual,False,Entry,0
MethodID,00006,Mutual,False,Entry,0
MethodID,00007,Mutual,False,Entry,0
MethodID,00008,Mutual,False,Entry,0
Count-00-00,Reference-00-00,Threshold-00-00,Difference-00-00,Judgement-00-00,Count-00-01,Reference-00-01,Threshold-00-01,Difference-00-01,Judgement-00-01,Count-00-02,Reference-00-02,Threshold-00-02,Difference-00-02,Judgement-00-02,Count-00-03,Reference-00-03,Threshold-00-03,Difference-00-03,Judgement-00-03,Count-00-04,Reference-00-04,Threshold-00-04,Difference-00-04,Judgement-00-04,Count-00-05,Reference-00-05,Threshold-00-05,Difference-00-05,Judgement-00-05,Count-00-06,Reference-00-06,Threshold-00-06,Difference-00-06,Judgement-00-06,Count-00-07,Reference-00-07,Threshold-00-07,Difference-00-07,Judgement-00-07,Count-00-08,Reference-00-08,Threshold-00-08,Difference-00-08,Judgement-00-08,Count-00-09,Reference-00-09,Threshold-00-09,Difference-00-09,Judgement-00-09,Count-00-10,Reference-00-10,Threshold-00-10,Difference-00-10,Judgement-00-10,Count-00-11,Reference-00-11,Threshold-00-11,Difference-00-11,Judgement-00-11,Count-00-12,Reference-00-12,Threshold-00-12,Difference-00-12,Judgement-00-12,Count-00-13,Reference-00-13,Threshold-00-13,Difference-00-13,Judgement-00-13,Count-00-14,Reference-00-14,Threshold-00-14,Difference-00-14,Judgement-00-14,Count-00-15,Reference-00-15,Threshold-00-15,Difference-00-15,Judgement-00-15,Count-00-16,Reference-00-16,Threshold-00-16,Difference-00-16,Judgement-00-16,Count-00-17,Reference-00-17,Threshold-00-17,Difference-00-17,Judgement-00-17,Count-00-18,Reference-00-18,Threshold-00-18,Difference-00-18,Judgement-00-18,Count-00-19,Reference-00-19,Threshold-00-19,Difference-00-19,Judgement-00-19,Count-00-20,Reference-00-20,Threshold-00-20,Difference-00-20,Judgement-00-20,Count-00-21,Reference-00-21,Threshold-00-21,Difference-00-21,Judgement-00-21,Count-00-22,Reference-00-22,Threshold-00-22,Difference-00-22,Judgement-00-22,Count-00-23,Reference-00-23,Threshold-00-23,Difference-00-23,Judgement-00-23,Count-00-24,Reference-00-24,Threshold-00-24,Difference-00-24,Judgement-00-24,Count-00-25,Reference-00-25,Threshold-00-25,Difference-00-25,Judgement-00-25,Count-00-26,Reference-00-26,Threshold-00-26,Difference-00-26,Judgement-00-26,Count-00-27,Reference-00-27,Threshold-00-27,Difference-00-27,Judgement-00-27,Count-00-28,Reference-00-28,Threshold-00-28,Difference-00-28,Judgement-00-28,Count-00-29,Reference-00-29,Threshold-00-29,Difference-00-29,Judgement-00-29,Count-00-30,Reference-00-30,Threshold-00-30,Difference-00-30,Judgement-00-30,Count-00-31,Reference-00-31,Threshold-00-31,Difference-00-31,Judgement-00-31,Count-00-32,Reference-00-32,Threshold-00-32,Difference-00-32,Judgement-00-32,Count-00-33,Reference-00-33,Threshold-00-33,Difference-00-33,Judgement-00-33,Count-00-34,Reference-00-34,Threshold-00-34,Difference-00-34,Judgement-00-34,Count-00-35,Reference-00-35,Threshold-00-35,Difference-00-35,Judgement-00-35,
15078,16089,04072,01011,00000,48853,48569,04004,00284,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44132,44715,03962,00583,00000,48778,47905,03833,00873,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48412,49177,03283,00765,00000,14310,13944,03287,00366,00000,48825,49163,03315,00338,00000,49391,48433,02781,00958,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,55888,56720,03591,00832,00000,14026,13849,03266,00177,00000,14017,14097,01863,00080,00000,53266,53699,03463,00433,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48628,47837,03026,00791,00000,47444,47968,03390,00524,00000,14071,13511,02984,00560,00000,48426,49414,03318,00988,00000,
15014,16089,04072,01075,00000,48983,48569,04004,00414,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44272,44715,03962,00443,00000,48781,47905,03833,00876,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48294,49177,03283,00883,00000,14367,13944,03287,00423,00000,49020,49163,03315,00143,00000,49379,48433,02781,00946,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,55694,56720,03591,01026,00000,14061,13849,03266,00212,00000,14099,14097,01863,00002,00000,53495,53699,03463,00204,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48921,47837,03026,01084,00000,47600,47968,03390,00368,00000,14104,13511,02984,00593,00000,47963,49414,03318,01451,00000,
15000,14918,04072,00082,00000,49006,49010,04004,00004,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44327,44320,03962,00007,00000,48784,48778,03833,00006,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48140,48165,03283,00025,00000,14343,14333,03287,00010,00000,49151,49142,03315,00009,00000,49418,49410,02781,00008,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,55755,55753,03591,00002,00000,14118,14113,03266,00005,00000,14188,14185,01863,00003,00000,53796,53786,03463,00010,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48539,48520,03026,00019,00000,47536,47501,03390,00035,00000,14209,14204,02984,00005,00000,48217,48227,03318,00010,00000,
15088,14918,04072,00170,00000,49011,49010,04004,00001,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44149,44320,03962,00171,00000,48738,48778,03833,00040,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48063,48165,03283,00102,00000,14322,14333,03287,00011,00000,49161,49142,03315,00019,00000,49384,49410,02781,00026,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,55724,55753,03591,00029,00000,14129,14113,03266,00016,00000,14187,14185,01863,00002,00000,53513,53786,03463,00273,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48537,48520,03026,00017,00000,47536,47501,03390,00035,00000,14184,14204,02984,00020,00000,48280,48227,03318,00053,00000,
15099,14918,04072,00181,00000,49298,49010,04004,00288,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44320,44320,03962,00000,00000,48755,48778,03833,00023,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,47960,48165,03283,00205,00000,14175,14333,03287,00158,00000,49132,49142,03315,00010,00000,49409,49410,02781,00001,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,55709,55753,03591,00044,00000,14117,14113,03266,00004,00000,14184,14185,01863,00001,00000,53626,53786,03463,00160,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48358,48520,03026,00162,00000,47808,47501,03390,00307,00000,14201,14204,02984,00003,00000,48333,48227,03318,00106,00000,
15061,14918,04072,00143,00000,48957,49010,04004,00053,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44381,44320,03962,00061,00000,48779,48778,03833,00001,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48154,48165,03283,00011,00000,14121,14333,03287,00212,00000,49154,49142,03315,00012,00000,49345,49410,02781,00065,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,55199,55753,03591,00554,00000,13902,14113,03266,00211,00000,14173,14185,01863,00012,00000,53877,53786,03463,00091,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48067,48520,03026,00453,00000,47848,47501,03390,00347,00000,14229,14204,02984,00025,00000,48383,48227,03318,00156,00000,
15007,14918,04072,00089,00000,48866,49010,04004,00144,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44366,44320,03962,00046,00000,48770,48778,03833,00008,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48138,48165,03283,00027,00000,14132,14333,03287,00201,00000,49028,49142,03315,00114,00000,48829,49410,02781,00581,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,55196,55753,03591,00557,00000,13994,14113,03266,00119,00000,14157,14185,01863,00028,00000,53897,53786,03463,00111,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,47844,48520,03026,00676,00000,47940,47501,03390,00439,00000,14312,14204,02984,00108,00000,48393,48227,03318,00166,00000,
15049,14918,04072,00131,00000,48753,49010,04004,00257,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44370,44320,03962,00050,00000,48872,48778,03833,00094,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48161,48165,03283,00004,00000,14077,14333,03287,00256,00000,48680,49142,03315,00462,00000,49189,49410,02781,00221,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,55530,55753,03591,00223,00000,14015,14113,03266,00098,00000,14094,14185,01863,00091,00000,53866,53786,03463,00080,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,47730,48520,03026,00790,00000,47889,47501,03390,00388,00000,14284,14204,02984,00080,00000,48509,48227,03318,00282,00000,
15037,14918,04072,00119,00000,48818,49010,04004,00192,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44019,44320,03962,00301,00000,48808,48778,03833,00030,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48583,48165,03283,00418,00000,14230,14333,03287,00103,00000,48603,49142,03315,00539,00000,49372,49410,02781,00038,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,56269,55753,03591,00516,00000,14004,14113,03266,00109,00000,13790,14185,01863,00395,00000,53880,53786,03463,00094,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48068,48520,03026,00452,00000,47763,47501,03390,00262,00000,14102,14204,02984,00102,00000,48848,48227,03318,00621,00000,
14979,14918,04072,00061,00000,48667,49010,04004,00343,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44343,44320,03962,00023,00000,49093,48778,03833,00315,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48705,48165,03283,00540,00000,14264,14333,03287,00069,00000,48383,49142,03315,00759,00000,49293,49410,02781,00117,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,56455,55753,03591,00702,00000,14026,14113,03266,00087,00000,13693,14185,01863,00492,00000,53877,53786,03463,00091,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48230,48520,03026,00290,00000,48047,47501,03390,00546,00000,13931,14204,02984,00273,00000,48939,48227,03318,00712,00000,
