Workbech6#Logfile,Entry,00000,Version,00002,DateTime,3/2/2018 4:17:22 PM,Channel,00064,Slider,00000,Wheel,00000,Mutual,False
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,
MethodID,00000,Mutual,False,Entry,36
MethodID,00001,Mutual,False,Entry,0
MethodID,00002,Mutual,False,Entry,0
MethodID,00003,Mutual,False,Entry,0
MethodID,00004,Mutual,False,Entry,0
MethodID,00005,Mutual,False,Entry,0
MethodID,00006,Mutual,False,Entry,0
MethodID,00007,Mutual,False,Entry,0
MethodID,00008,Mutual,False,Entry,0
Count-00-00,Reference-00-00,Threshold-00-00,Difference-00-00,Judgement-00-00,Count-00-01,Reference-00-01,Threshold-00-01,Difference-00-01,Judgement-00-01,Count-00-02,Reference-00-02,Threshold-00-02,Difference-00-02,Judgement-00-02,Count-00-03,Reference-00-03,Threshold-00-03,Difference-00-03,Judgement-00-03,Count-00-04,Reference-00-04,Threshold-00-04,Difference-00-04,Judgement-00-04,Count-00-05,Reference-00-05,Threshold-00-05,Difference-00-05,Judgement-00-05,Count-00-06,Reference-00-06,Threshold-00-06,Difference-00-06,Judgement-00-06,Count-00-07,Reference-00-07,Threshold-00-07,Difference-00-07,Judgement-00-07,Count-00-08,Reference-00-08,Threshold-00-08,Difference-00-08,Judgement-00-08,Count-00-09,Reference-00-09,Threshold-00-09,Difference-00-09,Judgement-00-09,Count-00-10,Reference-00-10,Threshold-00-10,Difference-00-10,Judgement-00-10,Count-00-11,Reference-00-11,Threshold-00-11,Difference-00-11,Judgement-00-11,Count-00-12,Reference-00-12,Threshold-00-12,Difference-00-12,Judgement-00-12,Count-00-13,Reference-00-13,Threshold-00-13,Difference-00-13,Judgement-00-13,Count-00-14,Reference-00-14,Threshold-00-14,Difference-00-14,Judgement-00-14,Count-00-15,Reference-00-15,Threshold-00-15,Difference-00-15,Judgement-00-15,Count-00-16,Reference-00-16,Threshold-00-16,Difference-00-16,Judgement-00-16,Count-00-17,Reference-00-17,Threshold-00-17,Difference-00-17,Judgement-00-17,Count-00-18,Reference-00-18,Threshold-00-18,Difference-00-18,Judgement-00-18,Count-00-19,Reference-00-19,Threshold-00-19,Difference-00-19,Judgement-00-19,Count-00-20,Reference-00-20,Threshold-00-20,Difference-00-20,Judgement-00-20,Count-00-21,Reference-00-21,Threshold-00-21,Difference-00-21,Judgement-00-21,Count-00-22,Reference-00-22,Threshold-00-22,Difference-00-22,Judgement-00-22,Count-00-23,Reference-00-23,Threshold-00-23,Difference-00-23,Judgement-00-23,Count-00-24,Reference-00-24,Threshold-00-24,Difference-00-24,Judgement-00-24,Count-00-25,Reference-00-25,Threshold-00-25,Difference-00-25,Judgement-00-25,Count-00-26,Reference-00-26,Threshold-00-26,Difference-00-26,Judgement-00-26,Count-00-27,Reference-00-27,Threshold-00-27,Difference-00-27,Judgement-00-27,Count-00-28,Reference-00-28,Threshold-00-28,Difference-00-28,Judgement-00-28,Count-00-29,Reference-00-29,Threshold-00-29,Difference-00-29,Judgement-00-29,Count-00-30,Reference-00-30,Threshold-00-30,Difference-00-30,Judgement-00-30,Count-00-31,Reference-00-31,Threshold-00-31,Difference-00-31,Judgement-00-31,Count-00-32,Reference-00-32,Threshold-00-32,Difference-00-32,Judgement-00-32,Count-00-33,Reference-00-33,Threshold-00-33,Difference-00-33,Judgement-00-33,Count-00-34,Reference-00-34,Threshold-00-34,Difference-00-34,Judgement-00-34,Count-00-35,Reference-00-35,Threshold-00-35,Difference-00-35,Judgement-00-35,
16248,16525,04072,00277,00000,48193,48435,04004,00242,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44580,44752,03962,00172,00000,48825,48249,03833,00576,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49033,49945,03283,00912,00000,14521,14103,03287,00418,00000,49684,49872,03315,00188,00000,49664,48795,02781,00869,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,56079,56116,03591,00037,00000,14345,14404,03266,00059,00000,14293,14114,01863,00179,00000,54106,54017,03463,00089,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48020,48024,03026,00004,00000,48259,48270,03390,00011,00000,14178,13938,02984,00240,00000,48610,49524,03318,00914,00000,
16372,16525,04072,00153,00000,48248,48435,04004,00187,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44687,44752,03962,00065,00000,48923,48249,03833,00674,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49025,49945,03283,00920,00000,14454,14103,03287,00351,00000,49751,49872,03315,00121,00000,49666,48795,02781,00871,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,55932,56116,03591,00184,00000,14339,14404,03266,00065,00000,14366,14114,01863,00252,00000,54108,54017,03463,00091,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,47974,48024,03026,00050,00000,48155,48270,03390,00115,00000,14053,13938,02984,00115,00000,48230,49524,03318,01294,00000,
16568,16525,04072,00043,00000,48573,48435,04004,00138,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44672,44752,03962,00080,00000,48938,48249,03833,00689,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49443,49945,03283,00502,00000,14471,14103,03287,00368,00000,49361,49872,03315,00511,00000,49519,48795,02781,00724,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,56435,56116,03591,00319,00000,14381,14404,03266,00023,00000,14031,14114,01863,00083,00000,54060,54017,03463,00043,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48289,48024,03026,00265,00000,48000,48270,03390,00270,00000,13697,13938,02984,00241,00000,48933,49524,03318,00591,00000,
16213,16525,04072,00312,00000,48339,48435,04004,00096,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44477,44752,03962,00275,00000,48909,48249,03833,00660,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49254,49945,03283,00691,00000,14552,14103,03287,00449,00000,49575,49872,03315,00297,00000,49480,48795,02781,00685,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,56184,56116,03591,00068,00000,14381,14404,03266,00023,00000,14143,14114,01863,00029,00000,54054,54017,03463,00037,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,47869,48024,03026,00155,00000,48085,48270,03390,00185,00000,13798,13938,02984,00140,00000,49308,49524,03318,00216,00000,
16127,16525,04072,00398,00000,48470,48435,04004,00035,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44722,44752,03962,00030,00000,48467,48249,03833,00218,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49435,49945,03283,00510,00000,14607,14103,03287,00504,00000,49389,49872,03315,00483,00000,49554,48795,02781,00759,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,56381,56116,03591,00265,00000,14379,14404,03266,00025,00000,14134,14114,01863,00020,00000,53847,54017,03463,00170,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48166,48024,03026,00142,00000,48122,48270,03390,00148,00000,13787,13938,02984,00151,00000,49411,49524,03318,00113,00000,
16251,16525,04072,00274,00000,48613,48435,04004,00178,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44626,44752,03962,00126,00000,48036,48249,03833,00213,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49591,49945,03283,00354,00000,14519,14103,03287,00416,00000,48990,49872,03315,00882,00000,49440,48795,02781,00645,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,56523,56116,03591,00407,00000,14172,14404,03266,00232,00000,13799,14114,01863,00315,00000,54030,54017,03463,00013,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48341,48024,03026,00317,00000,48228,48270,03390,00042,00000,13686,13938,02984,00252,00000,49454,49524,03318,00070,00000,
16233,16525,04072,00292,00000,48487,48435,04004,00052,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44594,44752,03962,00158,00000,48070,48249,03833,00179,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49916,49945,03283,00029,00000,14540,14103,03287,00437,00000,49382,49872,03315,00490,00000,49539,48795,02781,00744,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,55967,56116,03591,00149,00000,14173,14404,03266,00231,00000,14029,14114,01863,00085,00000,54051,54017,03463,00034,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48188,48024,03026,00164,00000,48255,48270,03390,00015,00000,13811,13938,02984,00127,00000,49482,49524,03318,00042,00000,
16188,16525,04072,00337,00000,48458,48435,04004,00023,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44716,44752,03962,00036,00000,48294,48249,03833,00045,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49959,49945,03283,00014,00000,14513,14103,03287,00410,00000,49382,49872,03315,00490,00000,49272,48795,02781,00477,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,55869,56116,03591,00247,00000,14245,14404,03266,00159,00000,14000,14114,01863,00114,00000,53977,54017,03463,00040,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48247,48024,03026,00223,00000,48272,48270,03390,00002,00000,13812,13938,02984,00126,00000,49514,49524,03318,00010,00000,
16225,16525,04072,00300,00000,48756,48435,04004,00321,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44734,44752,03962,00018,00000,48046,48249,03833,00203,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,50005,49945,03283,00060,00000,14363,14103,03287,00260,00000,48992,49872,03315,00880,00000,49421,48795,02781,00626,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,56372,56116,03591,00256,00000,14243,14404,03266,00161,00000,13792,14114,01863,00322,00000,54036,54017,03463,00019,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48444,48024,03026,00420,00000,48256,48270,03390,00014,00000,13583,13938,02984,00355,00000,49478,49524,03318,00046,00000,
16088,16525,04072,00437,00000,48794,48435,04004,00359,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44731,44752,03962,00021,00000,48010,48249,03833,00239,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49504,49945,03283,00441,00000,14359,14103,03287,00256,00000,49185,49872,03315,00687,00000,49587,48795,02781,00792,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,56505,56116,03591,00389,00000,14250,14404,03266,00154,00000,13724,14114,01863,00390,00000,54050,54017,03463,00033,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48343,48024,03026,00319,00000,48154,48270,03390,00116,00000,13483,13938,02984,00455,00000,49356,49524,03318,00168,00000,
