Workbech6#Logfile,Entry,00000,Version,00002,DateTime,3/2/2018 4:19:01 PM,Channel,00064,Slider,00000,Wheel,00000,Mutual,False
255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,
MethodID,00000,Mutual,False,Entry,36
MethodID,00001,Mutual,False,Entry,0
MethodID,00002,Mutual,False,Entry,0
MethodID,00003,Mutual,False,Entry,0
MethodID,00004,Mutual,False,Entry,0
MethodID,00005,Mutual,False,Entry,0
MethodID,00006,Mutual,False,Entry,0
MethodID,00007,Mutual,False,Entry,0
MethodID,00008,Mutual,False,Entry,0
Count-00-00,Reference-00-00,Threshold-00-00,Difference-00-00,Judgement-00-00,Count-00-01,Reference-00-01,Threshold-00-01,Difference-00-01,Judgement-00-01,Count-00-02,Reference-00-02,Threshold-00-02,Difference-00-02,Judgement-00-02,Count-00-03,Reference-00-03,Threshold-00-03,Difference-00-03,Judgement-00-03,Count-00-04,Reference-00-04,Threshold-00-04,Difference-00-04,Judgement-00-04,Count-00-05,Reference-00-05,Threshold-00-05,Difference-00-05,Judgement-00-05,Count-00-06,Reference-00-06,Threshold-00-06,Difference-00-06,Judgement-00-06,Count-00-07,Reference-00-07,Threshold-00-07,Difference-00-07,Judgement-00-07,Count-00-08,Reference-00-08,Threshold-00-08,Difference-00-08,Judgement-00-08,Count-00-09,Reference-00-09,Threshold-00-09,Difference-00-09,Judgement-00-09,Count-00-10,Reference-00-10,Threshold-00-10,Difference-00-10,Judgement-00-10,Count-00-11,Reference-00-11,Threshold-00-11,Difference-00-11,Judgement-00-11,Count-00-12,Reference-00-12,Threshold-00-12,Difference-00-12,Judgement-00-12,Count-00-13,Reference-00-13,Threshold-00-13,Difference-00-13,Judgement-00-13,Count-00-14,Reference-00-14,Threshold-00-14,Difference-00-14,Judgement-00-14,Count-00-15,Reference-00-15,Threshold-00-15,Difference-00-15,Judgement-00-15,Count-00-16,Reference-00-16,Threshold-00-16,Difference-00-16,Judgement-00-16,Count-00-17,Reference-00-17,Threshold-00-17,Difference-00-17,Judgement-00-17,Count-00-18,Reference-00-18,Threshold-00-18,Difference-00-18,Judgement-00-18,Count-00-19,Reference-00-19,Threshold-00-19,Difference-00-19,Judgement-00-19,Count-00-20,Reference-00-20,Threshold-00-20,Difference-00-20,Judgement-00-20,Count-00-21,Reference-00-21,Threshold-00-21,Difference-00-21,Judgement-00-21,Count-00-22,Reference-00-22,Threshold-00-22,Difference-00-22,Judgement-00-22,Count-00-23,Reference-00-23,Threshold-00-23,Difference-00-23,Judgement-00-23,Count-00-24,Reference-00-24,Threshold-00-24,Difference-00-24,Judgement-00-24,Count-00-25,Reference-00-25,Threshold-00-25,Difference-00-25,Judgement-00-25,Count-00-26,Reference-00-26,Threshold-00-26,Difference-00-26,Judgement-00-26,Count-00-27,Reference-00-27,Threshold-00-27,Difference-00-27,Judgement-00-27,Count-00-28,Reference-00-28,Threshold-00-28,Difference-00-28,Judgement-00-28,Count-00-29,Reference-00-29,Threshold-00-29,Difference-00-29,Judgement-00-29,Count-00-30,Reference-00-30,Threshold-00-30,Difference-00-30,Judgement-00-30,Count-00-31,Reference-00-31,Threshold-00-31,Difference-00-31,Judgement-00-31,Count-00-32,Reference-00-32,Threshold-00-32,Difference-00-32,Judgement-00-32,Count-00-33,Reference-00-33,Threshold-00-33,Difference-00-33,Judgement-00-33,Count-00-34,Reference-00-34,Threshold-00-34,Difference-00-34,Judgement-00-34,Count-00-35,Reference-00-35,Threshold-00-35,Difference-00-35,Judgement-00-35,
15212,15081,04072,00131,00000,48902,48840,04004,00062,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44155,44259,03962,00104,00000,48850,48295,03833,00555,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49477,49280,03283,00197,00000,13998,13784,03287,00214,00000,49258,49231,03315,00027,00000,49277,49595,02781,00318,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,57117,56028,03591,01089,00000,13345,13551,03266,00206,00000,13701,13465,01863,00236,00000,53586,53384,03463,00202,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48673,48792,03026,00119,00000,47638,47808,03390,00170,00000,13939,13707,02984,00232,00000,49039,48847,03318,00192,00000,
15030,15081,04072,00051,00000,48770,48840,04004,00070,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44337,44259,03962,00078,00000,48884,48295,03833,00589,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49229,49280,03283,00051,00000,13965,13784,03287,00181,00000,49623,49231,03315,00392,00000,49509,49595,02781,00086,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,57185,56028,03591,01157,00000,13548,13551,03266,00003,00000,13698,13465,01863,00233,00000,53233,53384,03463,00151,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48520,48792,03026,00272,00000,47727,47808,03390,00081,00000,13949,13707,02984,00242,00000,48736,48847,03318,00111,00000,
15113,15081,04072,00032,00000,48991,48840,04004,00151,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44165,44259,03962,00094,00000,48909,48295,03833,00614,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49505,49280,03283,00225,00000,14006,13784,03287,00222,00000,49434,49231,03315,00203,00000,49613,49595,02781,00018,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,57119,56028,03591,01091,00000,13431,13551,03266,00120,00000,13667,13465,01863,00202,00000,53579,53384,03463,00195,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48684,48792,03026,00108,00000,47518,47808,03390,00290,00000,13905,13707,02984,00198,00000,48955,48847,03318,00108,00000,
15096,15081,04072,00015,00000,49062,48840,04004,00222,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44334,44259,03962,00075,00000,48901,48295,03833,00606,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49323,49280,03283,00043,00000,13957,13784,03287,00173,00000,49632,49231,03315,00401,00000,49644,49595,02781,00049,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,56400,56028,03591,00372,00000,13512,13551,03266,00039,00000,13703,13465,01863,00238,00000,53306,53384,03463,00078,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48738,48792,03026,00054,00000,47745,47808,03390,00063,00000,13889,13707,02984,00182,00000,48762,48847,03318,00085,00000,
15090,15081,04072,00009,00000,49112,48840,04004,00272,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44121,44259,03962,00138,00000,48893,48295,03833,00598,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49505,49280,03283,00225,00000,14006,13784,03287,00222,00000,49439,49231,03315,00208,00000,49619,49595,02781,00024,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,56399,56028,03591,00371,00000,13661,13551,03266,00110,00000,13744,13465,01863,00279,00000,53484,53384,03463,00100,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48798,48792,03026,00006,00000,47644,47808,03390,00164,00000,13912,13707,02984,00205,00000,48991,48847,03318,00144,00000,
15200,15081,04072,00119,00000,49133,48840,04004,00293,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44345,44259,03962,00086,00000,48922,48295,03833,00627,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49370,49280,03283,00090,00000,14152,13784,03287,00368,00000,49523,49231,03315,00292,00000,49618,49595,02781,00023,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,56202,56028,03591,00174,00000,13674,13551,03266,00123,00000,13763,13465,01863,00298,00000,53363,53384,03463,00021,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48782,48792,03026,00010,00000,47866,47808,03390,00058,00000,13917,13707,02984,00210,00000,48592,48847,03318,00255,00000,
15133,15081,04072,00052,00000,48881,48840,04004,00041,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44108,44259,03962,00151,00000,48413,48295,03833,00118,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49401,49280,03283,00121,00000,14049,13784,03287,00265,00000,49424,49231,03315,00193,00000,49560,49595,02781,00035,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,56192,56028,03591,00164,00000,13533,13551,03266,00018,00000,13620,13465,01863,00155,00000,52985,53384,03463,00399,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48264,48792,03026,00528,00000,47415,47808,03390,00393,00000,13826,13707,02984,00119,00000,48691,48847,03318,00156,00000,
15058,15081,04072,00023,00000,49078,48840,04004,00238,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44538,44259,03962,00279,00000,48802,48295,03833,00507,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49097,49280,03283,00183,00000,14051,13784,03287,00267,00000,49526,49231,03315,00295,00000,49608,49595,02781,00013,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,56006,56028,03591,00022,00000,13719,13551,03266,00168,00000,13654,13465,01863,00189,00000,52949,53384,03463,00435,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48323,48792,03026,00469,00000,47919,47808,03390,00111,00000,14026,13707,02984,00319,00000,48637,48847,03318,00210,00000,
15211,15081,04072,00130,00000,49123,48840,04004,00283,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44527,44259,03962,00268,00000,48887,48295,03833,00592,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49179,49280,03283,00101,00000,14120,13784,03287,00336,00000,49653,49231,03315,00422,00000,49620,49595,02781,00025,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,55891,56028,03591,00137,00000,13679,13551,03266,00128,00000,13644,13465,01863,00179,00000,52952,53384,03463,00432,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48336,48792,03026,00456,00000,47834,47808,03390,00026,00000,14019,13707,02984,00312,00000,48635,48847,03318,00212,00000,
15270,15081,04072,00189,00000,48921,48840,04004,00081,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,44436,44259,03962,00177,00000,48882,48295,03833,00587,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,49144,49280,03283,00136,00000,13992,13784,03287,00208,00000,49697,49231,03315,00466,00000,49656,49595,02781,00061,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,55936,56028,03591,00092,00000,13715,13551,03266,00164,00000,13559,13465,01863,00094,00000,53046,53384,03463,00338,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,65535,65535,65535,00000,00000,48468,48792,03026,00324,00000,47934,47808,03390,00126,00000,13975,13707,02984,00268,00000,48693,48847,03318,00154,00000,
